
./vecadd_opt3 Number of trials=10,    avg=0.0231274, std dev=0.00390574

OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0251082, std dev=0.00366622

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0172679, std dev=7.87025e-05

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0227412, std dev=0.00443425

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0172952, std dev=8.80055e-05

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.017286, std dev=8.5235e-05

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.70129, std dev=0.00161533

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0173305, std dev=0.000166936

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0218372, std dev=0.00354373

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0173848, std dev=0.000456635

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0174623, std dev=0.000579396

OMP_PROC_BIND=master OMP_PLACES=cores OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.356587, std dev=0.0070026

OMP_PROC_BIND=true OMP_PLACES=sockets OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0232362, std dev=0.00366434

OMP_PROC_BIND=false OMP_PLACES=sockets OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0244191, std dev=0.00328564

OMP_PROC_BIND=close OMP_PLACES=sockets OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0223689, std dev=0.00399624

OMP_PROC_BIND=spread OMP_PLACES=sockets OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.023715, std dev=0.00334755

OMP_PROC_BIND=master OMP_PLACES=sockets OMP_NUM_THREADS=88 ./vecadd_opt3 Number of trials=10,    avg=0.0463479, std dev=0.00617711

OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0206522, std dev=0.00237998

OMP_PROC_BIND=true OMP_PLACES=threads OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0338539, std dev=0.000168333

OMP_PROC_BIND=false OMP_PLACES=threads OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0209896, std dev=0.00193342

OMP_PROC_BIND=close OMP_PLACES=threads OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0337935, std dev=0.000145576

OMP_PROC_BIND=spread OMP_PLACES=threads OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0166003, std dev=8.1615e-05

OMP_PROC_BIND=master OMP_PLACES=threads OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.52729, std dev=0.000780463

OMP_PROC_BIND=true OMP_PLACES=cores OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0166047, std dev=0.000139929

OMP_PROC_BIND=false OMP_PLACES=cores OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0213952, std dev=0.0017208

OMP_PROC_BIND=close OMP_PLACES=cores OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.0165903, std dev=0.000127394

OMP_PROC_BIND=spread OMP_PLACES=cores OMP_NUM_THREADS=44 ./vecadd_opt3 Number of trials=10,    avg=0.016607, std dev=8.22508e-05

